CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_PSG_WGT	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECHC	CPETECHP	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	CPETSPEC	CPETSPEP	C_RATING	C_UPDATE	C_YRS_IR	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
031912101	0	0	0	0	0	0	 	FRED BOOTH	 	N	N	N	N	N	N	N	N	N	N	N	61	60	527	Y	319	42	32	600	Y	253	37	28	800	Y	292	28	12	.	Y	.	.	28	CAMERON	031	80	17.9	446	497	.	.	430	86.5	136	27.4	20	4	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912103	1	1	1	1	1	1	 	CASH EL	 	N	N	N	N	N	N	N	N	N	N	N	90	60	773	Y	699	56	32	800	Y	446	57	28	800	Y	455	55	12	.	Y	.	.	54.5	CAMERON	031	69	13.1	525	629	.	.	546	86.8	114	18.1	64	10.2	M	 	.	SAN BENITO CISD	031912	05	EE	EE - 05	E	 	 	01	REGION 01: EDINBURG
031912104	1	1	0	1	1	1	 	DOWNS EL	 	N	N	N	N	N	N	N	N	N	N	N	82	60	518	Y	426	51	32	400	Y	202	47	28	800	Y	373	46	12	.	Y	.	.	45.5	CAMERON	031	52	14.1	369	441	.	.	272	61.7	37	8.4	38	8.6	M	 	.	SAN BENITO CISD	031912	05	EE	EE - 05	E	 	 	01	REGION 01: EDINBURG
031912106	0	0	0	0	0	0	 	LANDRUM EL	 	N	N	N	N	N	N	N	N	N	N	N	57	60	290	N	166	34	32	600	Y	203	31	28	800	Y	249	20	12	.	Y	.	.	20	CAMERON	031	42	19.1	220	354	.	.	325	91.8	105	29.7	46	13	M	 	.	SAN BENITO CISD	031912	05	EE	EE - 05	E	 	 	01	REGION 01: EDINBURG
031912108	0	1	1	1	1	0	 	RANGERVILLE EL	 	N	N	N	N	N	N	N	N	N	N	N	81	60	394	Y	319	54	32	600	Y	321	45	28	800	Y	359	42	12	.	Y	.	.	42	CAMERON	031	49	15.7	313	344	.	.	280	81.4	120	34.9	21	6.1	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912109	0	0	0	0	0	0	 	ROBERTS EL	 	N	N	N	N	N	N	N	N	N	N	N	64	60	352	Y	225	38	32	600	Y	228	33	28	800	Y	266	21	12	.	Y	.	.	21	CAMERON	031	76	23.5	324	345	.	.	326	94.5	108	31.3	14	4.1	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912110	0	0	0	1	1	1	 	SULLIVAN EL	 	N	N	N	N	N	N	N	N	N	N	N	71	60	429	Y	304	48	32	600	Y	287	42	28	800	Y	333	37	12	.	Y	.	.	36.5	CAMERON	031	43	12.6	342	395	.	.	317	80.3	89	22.5	38	9.6	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912112	0	0	0	0	0	1	 	LA ENCANTADA EL	 	N	N	N	N	N	N	N	N	N	N	N	71	60	549	Y	390	44	32	600	Y	264	43	28	800	Y	342	40	12	.	Y	.	.	40	CAMERON	031	77	17.9	431	447	.	.	412	92.2	209	46.8	21	4.7	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912114	0	0	0	0	0	0	 	LA PALOMA EL	 	N	N	N	N	N	N	N	N	N	N	N	73	60	437	Y	320	45	32	600	Y	268	41	28	800	Y	328	29	12	.	Y	.	.	29	CAMERON	031	43	13.3	324	403	.	.	349	86.6	188	46.7	36	8.9	M	 	.	SAN BENITO CISD	031912	05	EE	EE - 05	E	 	 	01	REGION 01: EDINBURG
031912115	0	0	0	0	0	0	 	RAUL GARZA JR EL	 	N	N	N	N	N	N	N	N	N	N	N	66	60	429	Y	281	39	32	800	Y	314	35	28	800	Y	283	30	12	.	Y	.	.	30	CAMERON	031	47	15.4	305	380	.	.	310	81.6	108	28.4	50	13.2	M	 	.	SAN BENITO CISD	031912	05	EE	EE - 05	E	 	 	01	REGION 01: EDINBURG
031912116	1	0	1	0	1	0	 	JUDGE OSCAR DE LA FUENTE EL	 	N	N	N	N	N	N	N	N	N	N	N	77	60	484	Y	373	42	32	800	Y	334	47	28	800	Y	377	43	12	.	Y	.	.	43	CAMERON	031	39	10.8	360	419	.	.	356	85	160	38.2	30	7.2	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912117	0	0	0	0	0	0	 	ANGELA GERUSA LEAL EL	 	N	N	N	N	N	N	N	N	N	N	N	66	60	552	Y	364	39	32	600	Y	236	40	28	800	Y	323	36	12	.	Y	.	.	35.5	CAMERON	031	70	16.7	418	461	.	.	423	91.8	264	57.3	27	5.9	M	 	.	SAN BENITO CISD	031912	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031912201	 	 	 	 	 	 	 	HESTER JUVENILE DETENT	RESIDENTIAL FACILITY	N	Y	N	N	N	N	N	N	N	N	Y	0	35	4	X	0	.	8	0	X	.	.	13	0	X	.	.	.	.	X	.	.	.	CAMERON	031	494	100	494	48	0	0	48	100	1	2.1	7	14.6	X	 	.	SAN BENITO CISD	031912	10	04	04 - 10	B	 	 	01	REGION 01: EDINBURG
031913001	0	0	0	0	0	0	1	SANTA MARIA H S	 	N	N	N	N	N	N	N	N	N	N	N	65	60	313	Y	205	22	17	600	Y	131	40	30	800	Y	319	78	60	24.4	Y	20.4	23.4	9.6	CAMERON	031	33	14.8	223	208	0	0	202	97.1	43	20.7	14	6.7	M	 	.	SANTA MARIA ISD	031913	12	09	09 - 12	S	 	 	01	REGION 01: EDINBURG
031913005	 	 	 	 	 	 	 	SANTA MARIA DAEP	 	N	N	N	Y	N	N	N	N	N	N	N	.	60	.	X	.	.	17	0	X	.	.	30	0	X	.	.	.	.	X	.	.	.	CAMERON	031	10	100	10	1	0	0	1	100	1	100	0	0	X	 	.	SANTA MARIA ISD	031913	11	11	11 - 11	S	 	 	01	REGION 01: EDINBURG
031913007	 	 	 	 	 	 	 	SANTA MARIA ACADEMIC ACADEMY-OPTIO	AEC OF CHOICE	Y	Y	N	N	N	N	Y	N	N	N	N	30	35	79	N	24	50	8	400	Y	200	15	13	800	Y	120	.	.	.	Z	.	.	.	CAMERON	031	.	.	.	30	0	0	30	100	21	70	0	0	A	 	.	SANTA MARIA ISD	031913	12	06	06 - 12	B	 	 	01	REGION 01: EDINBURG
031913041	1	1	1	1	1	0	1	SANTA MARIA J H	 	N	N	N	N	N	N	N	N	N	N	N	78	60	236	Y	184	50	30	600	Y	297	49	26	1000	Y	488	48	13	.	Y	.	.	48	CAMERON	031	33	20	165	73	0	0	72	98.6	18	24.7	3	4.1	M	 	.	SANTA MARIA ISD	031913	08	07	07 - 08	M	 	 	01	REGION 01: EDINBURG
031913042	0	0	0	0	0	 	 	SANTA MARIA MIDDLE	 	N	N	N	N	N	N	Y	N	N	N	N	58	60	212	N	124	24	30	600	N	144	32	26	600	Y	193	20	13	.	Y	.	.	19.5	CAMERON	031	.	.	.	96	0	0	96	100	34	35.4	7	7.3	I	 	1	SANTA MARIA ISD	031913	06	05	05 - 06	M	 	 	01	REGION 01: EDINBURG
031913101	0	0	0	0	0	 	 	TONY GONZALEZ EL	 	N	N	N	N	N	N	N	N	N	N	N	64	60	198	Y	127	37	32	600	Y	223	38	28	600	Y	226	26	12	.	Y	.	.	26	CAMERON	031	41	15.7	261	283	.	.	279	98.6	162	57.2	21	7.4	M	 	.	SANTA MARIA ISD	031913	04	PK	PK - 04	E	 	 	01	REGION 01: EDINBURG
031914001	0	0	0	0	0	0	0	SANTA ROSA H S	 	N	N	N	N	N	N	N	N	N	N	N	70	60	429	Y	300	22	17	400	Y	86	38	30	800	Y	307	76	60	24	Y	18.3	21.5	12.3	CAMERON	031	54	15	360	326	0	0	263	80.7	13	4	21	6.4	M	 	.	SANTA ROSA ISD	031914	12	09	09 - 12	S	 	 	01	REGION 01: EDINBURG
031914002	 	 	 	 	 	 	 	SANTA ROSA DAEP	 	N	N	N	Y	N	N	N	N	N	N	N	.	60	0	X	0	.	17	0	X	.	.	30	0	X	.	.	.	.	X	.	.	.	CAMERON	031	28	100	28	5	0	0	5	100	1	20	0	0	X	 	.	SANTA ROSA ISD	031914	12	06	06 - 12	B	 	 	01	REGION 01: EDINBURG
031914041	0	0	0	0	0	0	0	JO NELSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	63	60	743	Y	467	35	30	800	Y	278	32	26	1000	Y	316	24	13	.	Y	.	.	24	CAMERON	031	48	17.1	280	255	0	0	214	83.9	28	11	39	15.3	M	 	.	SANTA ROSA ISD	031914	08	06	06 - 08	M	 	 	01	REGION 01: EDINBURG
031914101	1	1	1	1	1	0	 	ELMA E BARRERA EL	 	N	N	N	N	N	N	N	N	N	N	N	72	60	587	Y	424	51	32	800	Y	410	42	28	800	Y	339	36	12	.	Y	.	.	35.5	CAMERON	031	53	12.4	429	523	.	.	482	92.2	117	22.4	44	8.4	M	 	.	SANTA ROSA ISD	031914	05	PK	PK - 05	E	 	 	01	REGION 01: EDINBURG
031916001	1	1	1	1	1	1	1	SOUTH TEXAS BUSINESS EDUCATION & T	 	N	N	N	N	N	N	N	N	N	N	N	89	60	725	Y	645	40	17	400	Y	161	52	30	800	Y	419	93	60	25	Y	25	24.4	18.4	CAMERON	031	69	9.8	707	634	.	.	384	60.6	37	5.8	32	5	M	 	.	SOUTH TEXAS ISD	031916	12	09	09 - 12	S	 	 	01	REGION 01: EDINBURG
031916003	1	1	1	1	1	1	1	SOUTH TEXAS ACADEMY FOR MEDICAL PR	 	N	N	N	N	N	N	N	N	N	N	N	87	60	1023	Y	887	42	17	400	Y	167	56	30	800	Y	450	88	60	25	Y	25	21.7	16.6	CAMERON	031	110	15.9	691	754	.	.	561	74.4	19	2.5	11	1.5	M	 	.	SOUTH TEXAS ISD	031916	12	09	09 - 12	S	 	 	01	REGION 01: EDINBURG
031916004	1	1	1	1	1	1	1	SOUTH TEXAS H S FOR HEALTH PROFESS	 	N	N	N	N	N	N	N	N	N	N	N	93	60	718	Y	670	38	17	600	Y	229	54	30	800	Y	430	94	60	25	Y	25	24.9	19	CAMERON	031	43	5.7	761	710	.	.	404	56.9	11	1.5	13	1.8	M	 	.	SOUTH TEXAS ISD	031916	12	09	09 - 12	S	 	 	01	REGION 01: EDINBURG
031916005	1	1	1	1	1	1	1	THE SCIENCE ACADEMY OF SOUTH TEXAS	 	N	N	N	N	N	N	N	N	N	N	N	96	60	651	Y	624	43	17	600	Y	255	63	30	800	Y	504	98	60	25	Y	24.9	24.8	23.2	CAMERON	031	39	5.2	753	735	.	.	273	37.1	3	0.4	7	1	M	 	.	SOUTH TEXAS ISD	031916	12	09	09 - 12	S	 	 	01	REGION 01: EDINBURG
031916041	1	1	1	1	1	1	1	SOUTH TEXAS PREPARATORY ACADEMY	 	N	N	N	N	N	N	N	N	N	N	N	98	60	2106	Y	2060	52	30	1200	Y	624	73	26	3000	Y	2196	88	13	.	Y	.	.	87.8	CAMERON	031	12	2.1	583	567	.	.	227	40	21	3.7	14	2.5	M	 	.	SOUTH TEXAS ISD	031916	08	07	07 - 08	M	 	 	01	REGION 01: EDINBURG
031916042	1	1	1	1	1	 	1	RISING SCHOLARS ACADEMY OF SOUTH T	 	N	N	N	N	N	N	N	N	N	N	N	98	60	1538	Y	1511	60	30	800	Y	483	68	26	1000	Y	679	88	13	.	Y	.	.	87.5	CAMERON	031	22	8.6	257	448	.	.	196	43.8	9	2	11	2.5	M	 	.	SOUTH TEXAS ISD	031916	08	07	07 - 08	M	 	 	01	REGION 01: EDINBURG
032902002	1	0	0	1	0	1	0	PITTSBURG H S	 	N	N	N	N	N	N	N	N	N	N	N	82	60	876	Y	714	32	17	1000	Y	322	51	30	2200	Y	1114	77	60	25	Y	17	21.1	13.7	CAMP	032	74	10.1	736	704	0	0	492	69.9	44	6.3	85	12.1	M	 	.	PITTSBURG ISD	032902	12	09	09 - 12	S	 	 	08	REGION 08: MT PLEASANT
032902041	1	1	1	1	1	1	1	PITTSBURG J H	 	N	N	N	N	N	N	N	N	N	N	N	84	60	1237	Y	1042	42	30	1200	Y	499	44	26	3000	Y	1314	44	13	.	Y	.	.	43.8	CAMP	032	30	7.8	383	371	0	0	288	77.6	41	11.1	32	8.6	M	 	.	PITTSBURG ISD	032902	08	07	07 - 08	M	 	 	08	REGION 08: MT PLEASANT
032902103	1	1	1	1	0	 	 	PITTSBURG EL	 	N	N	N	N	N	N	N	N	N	Y	N	90	60	880	Y	790	49	32	1200	Y	583	52	28	1800	Y	941	51	12	.	Y	.	.	51.3	CAMP	032	75	12.3	611	542	.	.	439	81	143	26.4	50	9.2	M	 	.	PITTSBURG ISD	032902	04	02	02 - 04	E	 	 	08	REGION 08: MT PLEASANT
032902104	 	 	 	 	 	 	 	PITTSBURG PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	CAMP	032	33	16.8	197	455	.	.	373	82	136	29.9	29	6.4	M	 	.	PITTSBURG ISD	032902	01	EE	EE - 01	E	032902103	PITTSBURG EL	08	REGION 08: MT PLEASANT
032902105	1	1	1	1	1	1	 	PITTSBURG INT	 	N	N	N	N	N	N	N	N	N	N	N	95	60	822	Y	779	46	30	1200	Y	553	60	26	1600	Y	953	55	13	.	Y	.	.	55.3	CAMP	032	42	11	383	338	0	0	252	74.6	79	23.4	36	10.7	M	 	.	PITTSBURG ISD	032902	06	05	05 - 06	M	 	 	08	REGION 08: MT PLEASANT
033901001	0	1	0	1	1	1	1	GROOM SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	86	60	247	Y	212	53	17	400	Y	210	43	30	1000	Y	432	84	60	25	Y	21.3	25	13	CARSON	033	19	13.6	140	148	0	0	44	29.7	2	1.4	18	12.2	M	 	.	GROOM ISD	033901	12	PK	PK - 12	B	 	 	16	REGION 16: AMARILLO
033902001	0	0	0	1	0	0	0	PANHANDLE H S	 	N	N	N	N	N	N	N	N	N	N	N	87	60	277	Y	242	40	17	400	Y	161	46	30	800	Y	371	84	60	25	Y	20.3	21.9	17	CARSON	033	29	13.9	209	206	2	1	31	15	1	0.5	24	11.7	M	 	.	PANHANDLE ISD	033902	12	09	09 - 12	S	 	 	16	REGION 16: AMARILLO
033902041	0	0	0	0	0	0	0	PANHANDLE J H	 	N	N	N	N	N	N	N	N	N	N	N	89	60	467	Y	417	34	30	800	Y	271	43	26	1000	Y	434	59	13	.	Y	.	.	59	CARSON	033	5	3.3	152	161	0	0	32	19.9	0	0	15	9.3	M	 	.	PANHANDLE ISD	033902	08	06	06 - 08	M	 	 	16	REGION 16: AMARILLO
033902101	0	0	0	0	0	1	 	PANHANDLE EL	 	N	N	N	N	N	N	N	N	N	N	N	86	60	388	Y	332	46	32	600	Y	275	42	28	800	Y	332	58	12	.	Y	.	.	57.5	CARSON	033	26	10.5	248	336	.	.	102	30.4	4	1.2	31	9.2	M	 	.	PANHANDLE ISD	033902	05	EE	EE - 05	E	 	 	16	REGION 16: AMARILLO
033904001	0	0	1	0	0	0	1	WHITE DEER H S	 	N	N	N	N	N	N	N	N	N	N	N	76	60	316	Y	239	31	17	400	Y	124	37	30	1000	Y	366	82	60	25	Y	21.8	23.9	11	CARSON	033	13	7.9	165	151	0	0	60	39.7	0	0	18	11.9	M	 	.	WHITE DEER ISD	033904	12	07	07 - 12	S	 	 	16	REGION 16: AMARILLO
033904102	1	0	0	0	1	1	 	WHITE DEER EL	 	N	N	N	N	N	N	N	N	N	N	N	88	60	256	Y	224	42	32	400	Y	166	48	28	800	Y	386	42	12	.	Y	.	.	42	CARSON	033	21	12	175	215	0	0	114	53	1	0.5	21	9.8	M	 	.	WHITE DEER ISD	033904	06	PK	PK - 06	E	 	 	16	REGION 16: AMARILLO
034901001	0	0	1	1	1	1	1	ATLANTA H S	 	N	N	N	N	N	N	N	N	N	N	N	72	60	760	Y	547	31	17	600	Y	183	40	30	1600	Y	644	80	60	24.3	Y	19.4	21.7	14.2	CASS	034	90	15.1	596	528	0	0	285	54	6	1.1	49	9.3	M	 	.	ATLANTA ISD	034901	12	09	09 - 12	S	 	 	08	REGION 08: MT PLEASANT
034901042	0	1	0	1	0	0	0	ATLANTA MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	71	60	1391	Y	991	39	30	1200	Y	465	34	26	2400	Y	819	31	13	.	Y	.	.	31	CASS	034	73	13.5	540	475	0	0	303	63.8	3	0.6	53	11.2	M	 	.	ATLANTA ISD	034901	08	05	05 - 08	M	 	 	08	REGION 08: MT PLEASANT
034901106	0	0	1	0	1	 	 	ATLANTA EL	 	N	N	N	N	N	N	N	N	N	Y	N	74	60	558	Y	415	34	32	800	Y	271	37	28	1200	Y	439	43	12	.	Y	.	.	43.3	CASS	034	53	13.6	391	335	.	.	242	72.2	13	3.9	45	13.4	M	 	.	ATLANTA ISD	034901	04	02	02 - 04	E	 	 	08	REGION 08: MT PLEASANT
034901107	 	 	 	 	 	 	 	ATLANTA PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	CASS	034	16	12.6	127	353	.	.	295	83.6	17	4.8	45	12.7	M	 	.	ATLANTA ISD	034901	01	EE	EE - 01	E	034901106	ATLANTA EL	08	REGION 08: MT PLEASANT
034902001	1	0	0	0	1	0	1	AVINGER SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	76	60	199	Y	151	31	17	400	Y	122	44	30	1000	Y	436	72	60	23.7	Y	24.1	14.9	8.8	CASS	034	34	23	148	132	0	0	105	79.5	3	2.3	16	12.1	M	 	.	AVINGER ISD	034902	12	KG	KG - 12	B	 	 	08	REGION 08: MT PLEASANT
034903001	0	0	0	0	0	0	0	HUGHES SPRINGS H S	 	N	N	N	N	N	N	N	N	N	N	N	82	60	448	Y	369	28	17	400	Y	112	45	30	800	Y	363	87	60	25	Y	24.5	22.1	15	CASS	034	42	11.5	365	340	.	.	156	45.9	1	0.3	25	7.4	M	 	.	HUGHES SPRINGS ISD	034903	12	09	09 - 12	S	 	 	08	REGION 08: MT PLEASANT
034903041	0	0	0	0	0	0	1	HUGHES SPRINGS J H	 	N	N	N	N	N	N	N	N	N	N	N	76	60	783	Y	598	36	30	1000	Y	360	36	26	1400	Y	507	33	13	.	Y	.	.	33	CASS	034	42	14.9	281	281	.	.	152	54.1	9	3.2	30	10.7	M	 	.	HUGHES SPRINGS ISD	034903	08	06	06 - 08	M	 	 	08	REGION 08: MT PLEASANT
034903101	0	0	0	0	0	0	 	HUGHES SPRINGS EL	 	N	N	N	N	N	N	N	N	N	N	N	75	60	675	Y	509	42	32	1200	Y	502	37	28	1600	Y	588	23	12	.	Y	.	.	22.5	CASS	034	73	13.9	525	640	.	.	409	63.9	32	5	49	7.7	M	 	.	HUGHES SPRINGS ISD	034903	05	EE	EE - 05	E	 	 	08	REGION 08: MT PLEASANT
034905002	1	0	1	0	1	1	1	LINDEN-KILDARE H S	 	N	N	N	N	N	N	N	N	N	N	N	82	60	315	Y	258	29	17	400	Y	116	49	30	800	Y	393	81	60	24.5	Y	22.6	20.8	13.4	CASS	034	31	13.5	230	209	0	0	133	63.6	3	1.4	29	13.9	M	 	.	LINDEN-KILDARE CISD	034905	12	09	09 - 12	S	 	 	08	REGION 08: MT PLEASANT
034905041	0	0	1	0	0	0	0	MAE LUSTER STEPHENS J H	 	N	N	N	N	N	N	N	N	N	N	N	77	60	460	Y	355	34	30	800	Y	273	36	26	1400	Y	509	34	13	.	Y	.	.	33.7	CASS	034	23	12.6	183	162	0	0	108	66.7	2	1.2	23	14.2	M	 	.	LINDEN-KILDARE CISD	034905	08	06	06 - 08	M	 	 	08	REGION 08: MT PLEASANT
034905102	0	0	0	0	0	0	 	LINDEN EL	 	N	N	N	N	N	N	N	N	N	N	N	76	60	385	Y	293	35	32	400	Y	141	44	28	800	Y	351	33	12	.	Y	.	.	33	CASS	034	50	18.1	276	336	.	.	203	60.4	22	6.5	34	10.1	M	 	.	LINDEN-KILDARE CISD	034905	05	EE	EE - 05	E	 	 	08	REGION 08: MT PLEASANT
034906001	0	1	0	1	1	0	0	MCLEOD H S	 	N	N	N	N	N	N	N	N	N	N	N	78	60	170	Y	133	41	17	400	Y	163	40	30	800	Y	317	78	60	22.6	Y	21.4	21.1	12.9	CASS	034	11	9.4	117	119	0	0	61	51.3	0	0	13	10.9	M	 	.	MCLEOD ISD	034906	12	09	09 - 12	S	 	 	08	REGION 08: MT PLEASANT
034906041	0	0	0	0	0	0	0	MCLEOD MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	75	60	319	Y	239	34	30	400	Y	134	34	26	1000	Y	340	33	13	.	Y	.	.	32.5	CASS	034	8	7.8	102	106	0	0	42	39.6	0	0	12	11.3	M	 	.	MCLEOD ISD	034906	08	06	06 - 08	M	 	 	08	REGION 08: MT PLEASANT
034906101	1	0	0	1	0	0	 	MCLEOD EL	 	N	N	N	N	N	N	N	N	N	N	N	83	60	192	Y	160	56	32	400	Y	225	49	28	800	Y	395	50	12	.	Y	.	.	50	CASS	034	24	17.3	139	143	.	.	60	42	0	0	12	8.4	M	 	.	MCLEOD ISD	034906	05	KG	KG - 05	E	 	 	08	REGION 08: MT PLEASANT
034907001	1	0	1	0	1	0	1	QUEEN CITY H S	 	N	N	N	N	N	N	N	N	N	N	N	85	60	366	Y	312	27	17	400	Y	109	48	30	800	Y	384	84	60	25	Y	24.2	22.2	13	CASS	034	54	16.3	331	306	0	0	156	51	0	0	19	6.2	M	 	.	QUEEN CITY ISD	034907	12	09	09 - 12	S	 	 	08	REGION 08: MT PLEASANT
034907041	0	0	0	0	0	0	0	MORRIS UPCHURCH MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	72	60	933	Y	672	37	30	800	Y	292	35	26	1400	Y	491	32	13	.	Y	.	.	31.7	CASS	034	37	11.3	327	328	0	0	179	54.6	2	0.6	36	11	M	 	.	QUEEN CITY ISD	034907	08	05	05 - 08	M	 	 	08	REGION 08: MT PLEASANT
034907101	1	1	1	0	1	 	 	J K HILEMAN EL	 	N	N	N	N	N	N	N	N	N	N	N	85	60	336	Y	284	45	32	400	Y	178	48	28	600	Y	285	54	12	.	Y	.	.	54	CASS	034	34	11.1	307	398	.	.	247	62.1	0	0	43	10.8	M	 	.	QUEEN CITY ISD	034907	04	EE	EE - 04	E	 	 	08	REGION 08: MT PLEASANT
034909001	0	0	0	0	0	0	0	BLOOMBURG H S	 	N	N	N	N	N	N	N	N	N	N	N	60	60	237	Y	143	30	17	400	Y	121	33	30	1000	Y	327	74	60	25	Y	18.8	21.9	8.1	CASS	034	14	10	140	127	0	0	66	52	0	0	14	11	M	 	.	BLOOMBURG ISD	034909	12	06	06 - 12	B	 	 	08	REGION 08: MT PLEASANT
034909101	1	0	0	0	1	1	 	BLOOMBURG EL	 	N	N	N	N	N	N	N	N	N	N	N	73	60	167	Y	122	41	32	400	Y	165	44	28	800	Y	351	33	12	.	Y	.	.	32.5	CASS	034	16	14.8	108	156	.	.	115	73.7	4	2.6	10	6.4	M	 	.	BLOOMBURG ISD	034909	05	PK	PK - 05	E	 	 	08	REGION 08: MT PLEASANT
035901001	0	0	0	0	0	0	0	DIMMITT H S	 	N	N	N	N	N	N	N	N	N	N	N	67	60	497	Y	335	27	17	400	Y	107	38	30	800	Y	302	81	60	25	Y	24.2	21.1	11.1	CASTRO	035	30	9.5	317	314	0	0	245	78	27	8.6	23	7.3	M	 	.	DIMMITT ISD	035901	12	09	09 - 12	S	 	 	16	REGION 16: AMARILLO
035901041	0	0	0	0	0	0	0	DIMMITT MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	62	60	1024	Y	635	39	30	1000	Y	393	29	26	2000	Y	580	25	13	.	Y	.	.	25	CASTRO	035	38	10.1	378	357	0	0	303	84.9	63	17.6	25	7	M	 	.	DIMMITT ISD	035901	08	05	05 - 08	M	 	 	16	REGION 16: AMARILLO
035901102	0	0	0	0	0	 	 	RICHARDSON EL	 	N	N	N	N	N	N	N	N	N	N	N	56	60	444	N	250	29	32	600	N	171	32	28	600	Y	190	24	12	.	Y	.	.	24	CASTRO	035	69	17	405	571	.	.	485	84.9	147	25.7	43	7.5	I	 	1	DIMMITT ISD	035901	04	PK	PK - 04	E	 	 	16	REGION 16: AMARILLO
035902001	0	0	0	0	0	0	0	HART ISD	 	N	N	N	N	N	N	N	N	N	N	N	71	60	320	Y	226	39	17	400	Y	156	37	30	1000	Y	373	56	60	25	N	13.6	10.2	7.4	CASTRO	035	29	13.5	215	233	0	0	206	88.4	27	11.6	13	5.6	I	0	4	HART ISD	035902	12	PK	PK - 12	B	 	 	16	REGION 16: AMARILLO
035903001	0	1	1	1	1	1	1	NAZARETH SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	95	60	400	Y	378	47	17	600	Y	284	48	30	1000	Y	475	94	60	25	Y	25	25	19.3	CASTRO	035	6	2.8	213	233	0	0	37	15.9	2	0.9	13	5.6	M	 	.	NAZARETH ISD	035903	12	PK	PK - 12	B	 	 	16	REGION 16: AMARILLO
036901001	0	0	1	0	0	1	1	ANAHUAC H S	 	N	N	N	N	N	N	N	N	N	N	N	70	60	552	Y	384	25	17	600	Y	148	37	30	800	Y	298	76	60	25	Y	19	23.2	9.1	CHAMBERS	036	56	14.3	391	358	.	.	162	45.3	8	2.2	36	10.1	M	 	.	ANAHUAC ISD	036901	12	09	09 - 12	S	 	 	04	REGION 04: HOUSTON
036901006	 	 	 	 	 	 	 	DISCIPLINARY ALTERNATIVE EDUCATION	 	N	N	N	Y	N	N	N	N	N	N	N	.	60	.	X	.	.	17	0	X	.	.	30	0	X	.	.	.	.	X	.	.	.	CHAMBERS	036	35	100	35	7	.	.	7	100	0	0	4	57.1	X	 	.	ANAHUAC ISD	036901	12	08	08 - 12	S	 	 	04	REGION 04: HOUSTON
036901041	1	1	1	1	0	0	1	ANAHUAC MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	84	60	870	Y	733	45	30	1200	Y	540	45	26	2400	Y	1084	43	13	.	Y	.	.	43.3	CHAMBERS	036	30	10.2	293	297	.	.	160	53.9	20	6.7	19	6.4	M	 	.	ANAHUAC ISD	036901	08	06	06 - 08	M	 	 	04	REGION 04: HOUSTON
036901101	0	1	0	0	0	1	 	ANAHUAC EL	 	N	N	N	N	N	N	N	N	N	N	N	79	60	804	Y	634	44	32	1200	Y	533	42	28	2000	Y	845	38	12	.	Y	.	.	37.8	CHAMBERS	036	64	11.9	538	648	.	.	382	59	75	11.6	58	9	M	 	.	ANAHUAC ISD	036901	05	EE	EE - 05	E	 	 	04	REGION 04: HOUSTON
